Each numbered origami of degree  6  is represented as follows.
The format is (x,y,\epsilon), where x and y are shown as cycles, and \epsilon is shown as a list with + as 0 and - as 1.
O_ 1571  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 2, 5], [3, 4]] [0 1 0 1 0 1] ), abelian= False
O_ 1572  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 2, 5], [3, 4]] [0 0 1 1 0 1] ), abelian= False
O_ 1573  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 2, 5], [3, 4]] [0 1 1 1 0 1] ), abelian= False
O_ 1574  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 2], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 1575  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 2], [5]] [0 1 0 0 0 0] ), abelian= False
O_ 1576  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 2], [5]] [0 0 1 0 0 0] ), abelian= False
O_ 1577  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 2], [5]] [0 1 1 0 0 0] ), abelian= False
O_ 1578  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 2], [5]] [0 0 0 1 0 0] ), abelian= False
O_ 1579  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 2], [5]] [0 1 0 1 0 0] ), abelian= False
O_ 1580  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 2], [5]] [0 0 1 1 0 0] ), abelian= False
O_ 1581  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 2], [5]] [0 1 1 1 0 0] ), abelian= False
O_ 1582  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 2], [5]] [0 0 0 0 1 0] ), abelian= False
O_ 1583  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 2], [5]] [0 1 0 0 1 0] ), abelian= False
O_ 1584  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 2], [5]] [0 0 1 0 1 0] ), abelian= False
O_ 1585  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 2], [5]] [0 1 1 0 1 0] ), abelian= False
O_ 1586  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 2], [5]] [0 0 0 1 1 0] ), abelian= False
O_ 1587  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 2], [5]] [0 1 0 1 1 0] ), abelian= False
O_ 1588  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 2], [5]] [0 0 1 1 1 0] ), abelian= False
O_ 1589  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 2], [5]] [0 1 1 1 1 0] ), abelian= True
O_ 1590  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 0 0 0 0 0] ), abelian= True
O_ 1591  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 1 0 0 0 0] ), abelian= False
O_ 1592  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 1 1 0 0 0] ), abelian= False
O_ 1593  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 0 0 1 0 0] ), abelian= False
O_ 1594  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 1 0 1 0 0] ), abelian= False
O_ 1595  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 0 1 1 0 0] ), abelian= False
O_ 1596  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 1 1 1 0 0] ), abelian= False
O_ 1597  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 0 0 0 1 0] ), abelian= False
O_ 1598  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 1 0 0 1 0] ), abelian= False
O_ 1599  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 1 1 0 1 0] ), abelian= False
O_ 1600  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 0 0 1 1 0] ), abelian= False
O_ 1601  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 1 0 1 1 0] ), abelian= False
O_ 1602  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 0 1 1 1 0] ), abelian= False
O_ 1603  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 1 1 1 1 0] ), abelian= False
O_ 1604  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 0 0 1 0 1] ), abelian= False
O_ 1605  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 1 0 1 0 1] ), abelian= False
O_ 1606  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 1 1 1 0 1] ), abelian= False
O_ 1607  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 0 0 1 1 1] ), abelian= False
O_ 1608  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 1 0 1 1 1] ), abelian= False
O_ 1609  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 4, 5, 2]] [0 1 1 1 1 1] ), abelian= True
O_ 1610  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 0 0 0 0] ), abelian= True
O_ 1611  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 0 0 0 0] ), abelian= False
O_ 1612  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 1 0 0 0] ), abelian= False
O_ 1613  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 1 0 0 0] ), abelian= False
O_ 1614  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 0 1 0 0] ), abelian= False
O_ 1615  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 0 1 0 0] ), abelian= False
O_ 1616  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 1 1 0 0] ), abelian= False
O_ 1617  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 1 1 0 0] ), abelian= False
O_ 1618  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 0 0 1 0] ), abelian= False
O_ 1619  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 0 0 1 0] ), abelian= False
O_ 1620  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 1 0 1 0] ), abelian= False
O_ 1621  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 1 0 1 0] ), abelian= False
O_ 1622  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 0 1 1 0] ), abelian= False
O_ 1623  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 0 1 1 0] ), abelian= False
O_ 1624  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 1 1 1 0] ), abelian= False
O_ 1625  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 1 1 1 0] ), abelian= False
O_ 1626  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 0 0 0 1] ), abelian= False
O_ 1627  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 0 0 0 1] ), abelian= False
O_ 1628  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 1 0 0 1] ), abelian= False
O_ 1629  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 1 0 0 1] ), abelian= False
O_ 1630  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 0 1 0 1] ), abelian= False
O_ 1631  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 0 1 0 1] ), abelian= False
O_ 1632  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 1 1 0 1] ), abelian= False
O_ 1633  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 1 1 0 1] ), abelian= False
O_ 1634  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 0 0 1 1] ), abelian= False
O_ 1635  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 0 0 1 1] ), abelian= False
O_ 1636  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 1 0 1 1] ), abelian= False
O_ 1637  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 1 0 1 1] ), abelian= False
O_ 1638  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 0 1 1 1] ), abelian= False
O_ 1639  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 0 1 1 1] ), abelian= False
O_ 1640  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 1 1 1 1] ), abelian= False
O_ 1641  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 1 1 1 1] ), abelian= True
O_ 1642  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2], [4]] [0 0 0 0 0 0] ), abelian= True
O_ 1643  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2], [4]] [0 1 0 0 0 0] ), abelian= False
O_ 1644  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2], [4]] [0 1 1 0 0 0] ), abelian= False
O_ 1645  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2], [4]] [0 0 0 1 0 0] ), abelian= False
O_ 1646  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2], [4]] [0 1 0 1 0 0] ), abelian= False
O_ 1647  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2], [4]] [0 0 1 1 0 0] ), abelian= False
O_ 1648  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2], [4]] [0 1 1 1 0 0] ), abelian= False
O_ 1649  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2], [4]] [0 0 0 1 0 1] ), abelian= False
O_ 1650  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2], [4]] [0 1 0 1 0 1] ), abelian= False
O_ 1651  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2], [4]] [0 1 1 1 0 1] ), abelian= True
O_ 1652  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2], [4], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 1653  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2], [4], [5]] [0 1 0 0 0 0] ), abelian= False
O_ 1654  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2], [4], [5]] [0 1 0 1 0 0] ), abelian= True
O_ 1655  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2], [4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 1656  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2], [4, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 1657  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2], [4, 5]] [0 1 0 1 0 0] ), abelian= True
O_ 1658  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2], [4, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 1659  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2], [4, 5]] [0 1 0 0 1 0] ), abelian= False
O_ 1660  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2], [4, 5]] [0 1 0 1 1 0] ), abelian= False
O_ 1661  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2], [4]] [0 0 0 0 0 0] ), abelian= True
O_ 1662  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2], [4]] [0 1 0 0 0 0] ), abelian= False
O_ 1663  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2], [4]] [0 0 0 1 0 0] ), abelian= False
O_ 1664  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2], [4]] [0 1 0 1 0 0] ), abelian= False
O_ 1665  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2], [4]] [0 1 0 0 0 1] ), abelian= False
O_ 1666  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2], [4]] [0 1 0 1 0 1] ), abelian= True
O_ 1667  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 1668  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4], [5]] [0 1 0 0 0 0] ), abelian= False
O_ 1669  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4], [5]] [0 0 1 0 0 0] ), abelian= False
O_ 1670  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4], [5]] [0 1 1 0 0 0] ), abelian= False
O_ 1671  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4], [5]] [0 0 0 1 0 0] ), abelian= False
O_ 1672  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4], [5]] [0 1 0 1 0 0] ), abelian= True
O_ 1673  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4], [5]] [0 0 1 1 0 0] ), abelian= False
O_ 1674  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4], [5]] [0 1 1 1 0 0] ), abelian= False
O_ 1675  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 1676  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 1677  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 0 1 0 0 0] ), abelian= False
O_ 1678  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 1 0 0 0] ), abelian= False
O_ 1679  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 0 1 0 0] ), abelian= True
O_ 1680  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 1 1 0 0] ), abelian= False
O_ 1681  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 1682  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 0 0 1 0] ), abelian= False
O_ 1683  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 0 1 0 1 0] ), abelian= False
O_ 1684  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 1 0 1 0] ), abelian= False
O_ 1685  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 0 0 1 1 0] ), abelian= False
O_ 1686  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 0 1 1 0] ), abelian= False
O_ 1687  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 0 1 1 1 0] ), abelian= False
O_ 1688  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 1 1 1 0] ), abelian= False
O_ 1689  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 0 0 0 1 1] ), abelian= False
O_ 1690  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 0 0 1 1] ), abelian= False
O_ 1691  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 0 1 0 1 1] ), abelian= True
O_ 1692  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 1 0 1 1] ), abelian= False
O_ 1693  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 0 1 1 1] ), abelian= False
O_ 1694  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 1 1 1 1] ), abelian= True
O_ 1695  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 1696  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 1 0 0 0 0] ), abelian= False
O_ 1697  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 0 1 0 0 0] ), abelian= False
O_ 1698  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 1 1 0 0 0] ), abelian= False
O_ 1699  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 1 0 1 0 0] ), abelian= False
O_ 1700  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 0 1 1 0 0] ), abelian= False
O_ 1701  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 1 1 1 0 0] ), abelian= False
O_ 1702  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 1 0 0 1 0] ), abelian= False
O_ 1703  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 1 1 0 1 0] ), abelian= False
O_ 1704  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 1 1 1 1 0] ), abelian= True
O_ 1705  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 0 0 0 0 0] ), abelian= True
O_ 1706  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 0 0 0 0] ), abelian= False
O_ 1707  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 0 1 0 0 0] ), abelian= False
O_ 1708  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 1 0 0 0] ), abelian= False
O_ 1709  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 0 1 0 0] ), abelian= False
O_ 1710  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 0 1 1 0 0] ), abelian= False
O_ 1711  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 1 1 0 0] ), abelian= False
O_ 1712  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 0 0 1 0] ), abelian= False
O_ 1713  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 1 0 1 0] ), abelian= False
O_ 1714  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 1 1 1 0] ), abelian= False
O_ 1715  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 0 0 0 0 1] ), abelian= False
O_ 1716  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 0 0 0 1] ), abelian= False
O_ 1717  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 0 1 0 0 1] ), abelian= False
O_ 1718  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 1 0 0 1] ), abelian= False
O_ 1719  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 0 1 0 1] ), abelian= False
O_ 1720  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 0 1 1 0 1] ), abelian= False
O_ 1721  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 1 1 0 1] ), abelian= False
O_ 1722  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 0 0 1 1] ), abelian= False
O_ 1723  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 1 0 1 1] ), abelian= False
O_ 1724  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 1 1 1 1] ), abelian= True
O_ 1725  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 0 0 0 0 0] ), abelian= True
O_ 1726  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 1 0 0 0 0] ), abelian= False
O_ 1727  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 0 1 0 0 0] ), abelian= False
O_ 1728  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 1 1 0 0 0] ), abelian= False
O_ 1729  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 0 0 1 0 0] ), abelian= False
O_ 1730  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 1 0 1 0 0] ), abelian= False
O_ 1731  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 0 1 1 0 0] ), abelian= False
O_ 1732  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 1 1 1 0 0] ), abelian= False
O_ 1733  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 1 0 0 0 1] ), abelian= False
O_ 1734  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 1 1 0 0 1] ), abelian= False
O_ 1735  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 1 0 1 0 1] ), abelian= True
O_ 1736  = ( [[0], [1, 2, 3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 1 1 1 0 1] ), abelian= False
O_ 1737  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2], [3], [4], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 1738  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2], [3], [4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 1739  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2], [3], [4, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 1740  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2], [3, 4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 1741  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2], [3, 4, 5]] [0 0 0 1 0 0] ), abelian= False
O_ 1742  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2], [3, 4, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 1743  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2], [3, 4, 5]] [0 0 0 1 1 0] ), abelian= False
O_ 1744  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2], [3, 4, 5]] [0 0 0 1 0 1] ), abelian= False
O_ 1745  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2], [3, 4, 5]] [0 0 0 1 1 1] ), abelian= True
O_ 1746  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2], [3, 5], [4]] [0 0 0 0 0 0] ), abelian= True
O_ 1747  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2], [3, 5], [4]] [0 0 0 1 0 0] ), abelian= False
O_ 1748  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 3], [4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 1749  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 3], [4, 5]] [0 0 1 0 0 0] ), abelian= False
O_ 1750  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 3], [4, 5]] [0 0 1 0 1 0] ), abelian= False
O_ 1751  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 3, 4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 1752  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 3, 4, 5]] [0 0 1 0 0 0] ), abelian= False
O_ 1753  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 3, 4, 5]] [0 0 1 1 0 0] ), abelian= False
O_ 1754  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 3, 4, 5]] [0 0 1 0 1 0] ), abelian= False
O_ 1755  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 3, 4, 5]] [0 0 1 1 1 0] ), abelian= False
O_ 1756  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 3, 4, 5]] [0 0 1 1 1 1] ), abelian= True
O_ 1757  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 3, 5, 4]] [0 0 0 0 0 0] ), abelian= True
O_ 1758  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 3, 5, 4]] [0 0 1 0 0 0] ), abelian= False
O_ 1759  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 3, 5, 4]] [0 0 1 1 0 0] ), abelian= False
O_ 1760  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 3, 5, 4]] [0 0 0 0 1 0] ), abelian= False
O_ 1761  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 3, 5, 4]] [0 0 1 0 1 0] ), abelian= False
O_ 1762  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 3, 5, 4]] [0 0 0 1 1 0] ), abelian= False
O_ 1763  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 3, 5, 4]] [0 0 0 0 1 1] ), abelian= False
O_ 1764  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 4], [3, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 1765  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 4], [3, 5]] [0 0 1 0 0 0] ), abelian= False
O_ 1766  = ( [[0, 1], [2, 3, 4, 5]] [[0], [1], [2, 4], [3, 5]] [0 0 1 1 0 0] ), abelian= False
